m,#StocksSelected,2019_return_error,2019_return_RMSE,2020_return_error,2020_return_RMSE
5,5,0.49925869205463597,0.0028589246578478284,0.7773624845503464,0.00418077151184521
10,10,0.2901370241328436,0.0015640311370227551,0.7533721642362791,0.00434652748568268
15,15,0.20751968767467305,0.001197731198523802,0.6367542674477454,0.003356944985506346
20,20,0.15750137571614808,0.0009139237774007981,0.5594636769069442,0.0029063778562450245
25,25,0.13344210380157315,0.0007757157322576616,0.47801487115718216,0.002619875554566177
30,30,0.10565283855152564,0.0006159620981859557,0.4916229113126487,0.0025644075874689015
35,35,0.09298606644404221,0.000564789550975731,0.4764355877134356,0.0026086307964558243
40,40,0.07857688707618328,0.0004553522315917251,0.4082495639884021,0.002210246543437186
45,45,0.06769731146464075,0.0004364391133062144,0.40668520512439976,0.002197677714729759
50,50,0.06097877950191906,0.0003791854735412091,0.39167708321928246,0.002156906389698346
55,55,0.05620590350346446,0.0003889709582084354,0.3760911483040245,0.0020842767243825734
60,60,0.05244160668934529,0.00034926195442326445,0.373525715107096,0.0020818888828868305
65,65,0.04917324544334389,0.0003148622654634779,0.36919708117708777,0.0020586649687360753
70,70,0.047487722953541506,0.00031201009887067325,0.3605022771103967,0.002014864646139421
75,75,0.0460415500685385,0.0003036145994149105,0.362994790889923,0.002046184496057001
80,80,0.04522712088761293,0.0002956965998619255,0.3706285957205264,0.0020953054066811853
85,85,0.04496566084502063,0.0003008062885366395,0.3610194322421359,0.002043813959582221
90,88,0.044910816460638305,0.0002989428739374243,0.36867085361031693,0.0020819640068757863
95,88,0.04491081640839286,0.00029894287393742477,0.3686708536103173,0.002081964006875789
100,88,0.0449108164083929,0.0002989428739374261,0.36867085361031715,0.0020819640068757868
